Date,Name,Year,Letterboxd URI
2023-03-13,The Whale,2022,https://boxd.it/tw4c
2023-03-13,Glass Onion,2022,https://boxd.it/oCkK
2023-03-13,The Godfather,1972,https://boxd.it/2aNK
2023-03-13,Forrest Gump,1994,https://boxd.it/728
2023-03-13,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O
2023-03-13,GoodFellas,1990,https://boxd.it/29FA
2023-03-13,The Social Network,2010,https://boxd.it/17ue
2023-03-13,The Matrix,1999,https://boxd.it/2a1m
2023-03-13,Fire of Love,2022,https://boxd.it/yoPY
2023-03-13,Turning Red,2022,https://boxd.it/ipkq
2023-03-13,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E
2023-03-13,Tenet,2020,https://boxd.it/leq4
2023-03-13,Schindler's List,1993,https://boxd.it/2aq2
2023-03-13,There Will Be Blood,2007,https://boxd.it/20Z2
2023-03-13,Vertigo,1958,https://boxd.it/2apI
2023-03-13,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G
2023-03-13,The Green Mile,1999,https://boxd.it/2agG
2023-03-13,Luther: The Fallen Sun,2023,https://boxd.it/r3t4
2024-03-17,Poison,2023,https://boxd.it/Is7Q
2024-03-17,Coco,2017,https://boxd.it/bYJQ
2024-03-17,Before Sunset,2004,https://boxd.it/2bcg
2024-03-17,Dogtooth,2009,https://boxd.it/158K
2024-03-17,The Sweet East,2023,https://boxd.it/CcHw
2024-03-17,Midnight in Paris,2011,https://boxd.it/i4a
2024-03-17,The Impossible,2012,https://boxd.it/2N9k
2024-03-17,Alice in Wonderland,2010,https://boxd.it/1Spq
2024-03-17,Pride & Prejudice,2005,https://boxd.it/24u8
2024-03-17,Uncharted,2022,https://boxd.it/b5Dy
2024-03-17,A Ghost Story,2017,https://boxd.it/fb0K
2024-03-17,Winnie the Pooh: Blood and Honey,2023,https://boxd.it/B1rg
2024-03-20,The Immortal Man: A Peaky Blinders Film,,https://boxd.it/x3yq
2024-05-08,Mac & Devin Go to High School,2012,https://boxd.it/3z2m
2024-06-14,The Cabin in the Woods,2011,https://boxd.it/1zOc
2024-06-14,War Dogs,2016,https://boxd.it/9SlO
2024-06-14,Puppy Love,2023,https://boxd.it/HeaE
2024-06-14,12 Strong,2018,https://boxd.it/fdnc
2024-07-18,About Time,2013,https://boxd.it/43bI
2024-08-03,Only God Forgives,2013,https://boxd.it/2HBs
2024-08-05,The Big Short,2015,https://boxd.it/ajZw
2024-08-12,Edward Scissorhands,1990,https://boxd.it/2aZc
2024-08-17,Pawn Sacrifice,2014,https://boxd.it/7dlE
2024-08-17,Asteroid City,2023,https://boxd.it/s3ds
2024-08-17,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2024-08-27,Kinds of Kindness,2024,https://boxd.it/CWPw
2024-08-31,Detachment,2011,https://boxd.it/2BiY
2024-09-21,Profile,2017,https://boxd.it/hNjE
2024-09-29,MaXXXine,2024,https://boxd.it/CIM4
2024-10-01,Megalopolis,2024,https://boxd.it/lPBS
2024-10-05,Where Is the Friend's House?,1987,https://boxd.it/ELg
2024-10-09,The Blair Witch Project,1999,https://boxd.it/26ua
2024-10-26,Submarine,2010,https://boxd.it/H4a
2024-11-04,Savageland,2015,https://boxd.it/aEdS
2024-11-17,Batman: The Killing Joke,2016,https://boxd.it/djxe
2024-11-18,Eyes Wide Shut,1999,https://boxd.it/2axs
2024-11-18,You Should Have Left,2020,https://boxd.it/iDBA
2024-12-15,Twelve Monkeys,1995,https://boxd.it/2beQ
2025-01-04,The Departed,2006,https://boxd.it/28MA
2025-01-06,Mary and Max,2009,https://boxd.it/1y2m
2025-01-07,How to Make Millions Before Grandma Dies,2024,https://boxd.it/FLa4
2025-01-12,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2025-01-12,Hereditary,2018,https://boxd.it/hNVe
2025-02-02,Arrival,2016,https://boxd.it/aNGk
2025-03-01,United 93,2006,https://boxd.it/1XHY
2025-03-02,Conclave,2024,https://boxd.it/AO8q
2025-03-08,Tropic Thunder,2008,https://boxd.it/20WM
2025-03-18,Superhero Movie,2008,https://boxd.it/1SM0
2025-03-19,Snowpiercer,2013,https://boxd.it/3Icg
2025-03-20,1408,2007,https://boxd.it/25Vu
2025-04-01,The Island,2005,https://boxd.it/28qE
2025-04-03,Escape Plan,2013,https://boxd.it/3DX2
